+--------+-----------+-----------------------------+------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                         | Name             | Action                                                                 | Middleware   |
+--------+-----------+-----------------------------+------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | /                           | welcome          | Closure                                                                | web          |
|        | POST      | api/comments                | comments.store   | App\Http\Controllers\CommentController@store                           | web          |
|        | GET|HEAD  | api/comments                | comments.index   | App\Http\Controllers\CommentController@index                           | web          |
|        | GET|HEAD  | api/comments/create         | comments.create  | App\Http\Controllers\CommentController@create                          | web          |
|        | DELETE    | api/comments/{comment}      | comments.destroy | App\Http\Controllers\CommentController@destroy                         | web          |
|        | PUT|PATCH | api/comments/{comment}      | comments.update  | App\Http\Controllers\CommentController@update                          | web          |
|        | GET|HEAD  | api/comments/{comment}      | comments.show    | App\Http\Controllers\CommentController@show                            | web          |
|        | GET|HEAD  | api/comments/{comment}/edit | comments.edit    | App\Http\Controllers\CommentController@edit                            | web          |
|        | GET|HEAD  | api/user                    |                  | Closure                                                                | api,auth:api |
|        | GET|HEAD  | auth/social                 | social.login     | App\Http\Controllers\Auth\SocialAuthController@show                    | web,guest    |
|        | GET|HEAD  | home                        | home             | App\Http\Controllers\HomeController@index                              | web,auth     |
|        | GET|HEAD  | link                        |                  | App\Http\Controllers\LinkController@create                             | web,auth     |
|        | POST      | link                        |                  | App\Http\Controllers\LinkController@store                              | web,auth     |
|        | GET|HEAD  | link/{link}                 |                  | App\Http\Controllers\LinkController@edit                               | web,auth     |
|        | POST      | link/{link}                 |                  | App\Http\Controllers\LinkController@update                             | web,auth     |
|        | DELETE    | link/{link}                 | links.destroy    | App\Http\Controllers\LinkController@destroy                            | web,auth     |
|        | GET|HEAD  | links                       |                  | App\Http\Controllers\LinkController@index                              | web,auth     |
|        | GET|HEAD  | login                       | login            | App\Http\Controllers\Auth\LoginController@showLoginForm                | web,guest    |
|        | POST      | login                       |                  | App\Http\Controllers\Auth\LoginController@login                        | web,guest    |
|        | POST      | logout                      | logout           | App\Http\Controllers\Auth\LoginController@logout                       | web          |
|        | GET|HEAD  | oauth/{driver}              | social.oauth     | App\Http\Controllers\Auth\SocialAuthController@redirectToProvider      | web,guest    |
|        | GET|HEAD  | oauth/{driver}/callback     | social.callback  | App\Http\Controllers\Auth\SocialAuthController@handleProviderCallback  | web,guest    |
|        | POST      | password/email              | password.email   | App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail  | web,guest    |
|        | GET|HEAD  | password/reset              | password.request | App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm | web,guest    |
|        | POST      | password/reset              |                  | App\Http\Controllers\Auth\ResetPasswordController@reset                | web,guest    |
|        | GET|HEAD  | password/reset/{token}      | password.reset   | App\Http\Controllers\Auth\ResetPasswordController@showResetForm        | web,guest    |
|        | GET|HEAD  | register                    | register         | App\Http\Controllers\Auth\RegisterController@showRegistrationForm      | web,guest    |
|        | POST      | register                    |                  | App\Http\Controllers\Auth\RegisterController@register                  | web,guest    |
|        | POST      | users                       | users.store      | App\Http\Controllers\UserController@store                              | web,auth     |
|        | GET|HEAD  | users                       | users.index      | App\Http\Controllers\UserController@index                              | web,auth     |
|        | GET|HEAD  | users/create                | users.create     | App\Http\Controllers\UserController@create                             | web,auth     |
|        | GET|HEAD  | users/{user}                | users.show       | App\Http\Controllers\UserController@show                               | web,auth     |
|        | PUT|PATCH | users/{user}                | users.update     | App\Http\Controllers\UserController@update                             | web,auth     |
|        | DELETE    | users/{user}                | users.destroy    | App\Http\Controllers\UserController@destroy                            | web,auth     |
|        | GET|HEAD  | users/{user}/edit           | users.edit       | App\Http\Controllers\UserController@edit                               | web,auth     |
+--------+-----------+-----------------------------+------------------+------------------------------------------------------------------------+--------------+
